newspaper,date,decade,page,face_count
GDL,1798-02-05,1790,0001,0
GDL,1798-02-05,1790,0002,0
GDL,1798-02-05,1790,0003,0
GDL,1798-02-05,1790,0004,0
GDL,1798-05-29,1790,0001,0
GDL,1798-05-29,1790,0002,1
GDL,1798-05-29,1790,0003,0
GDL,1798-05-29,1790,0004,0
GDL,1798-05-29,1790,0005,0
GDL,1798-05-29,1790,0006,0
GDL,1798-05-29,1790,0007,0
GDL,1798-05-29,1790,0008,0
GDL,1798-12-16,1790,0001,0
GDL,1798-12-16,1790,0002,0
GDL,1798-12-16,1790,0003,0
GDL,1798-12-16,1790,0004,0
GDL,1798-12-16,1790,0005,0
GDL,1798-12-16,1790,0006,0
GDL,1798-12-16,1790,0007,1
GDL,1798-12-16,1790,0008,1
GDL,1807-06-23,1800,0001,0
GDL,1807-06-23,1800,0002,0
GDL,1807-06-23,1800,0003,0
GDL,1807-06-23,1800,0004,0
GDL,1807-06-23,1800,0005,0
GDL,1807-06-23,1800,0006,1
GDL,1807-06-23,1800,0007,1
GDL,1807-06-23,1800,0008,0
GDL,1807-06-23,1800,0009,0
GDL,1807-06-23,1800,0010,0
GDL,1807-06-23,1800,0011,0
GDL,1807-06-23,1800,0012,0
GDL,1807-06-30,1800,0001,0
GDL,1807-06-30,1800,0002,1
GDL,1807-06-30,1800,0003,0
GDL,1807-06-30,1800,0004,2
GDL,1807-06-30,1800,0005,0
GDL,1807-06-30,1800,0006,0
GDL,1807-06-30,1800,0007,0
GDL,1807-06-30,1800,0008,0
GDL,1807-06-30,1800,0009,0
GDL,1807-06-30,1800,0010,0
GDL,1807-06-30,1800,0011,1
GDL,1807-06-30,1800,0012,0
GDL,1807-11-20,1800,0001,1
GDL,1807-11-20,1800,0002,0
GDL,1807-11-20,1800,0003,1
GDL,1807-11-20,1800,0004,0
GDL,1807-11-20,1800,0005,0
GDL,1807-11-20,1800,0006,1
GDL,1807-11-20,1800,0007,1
GDL,1807-11-20,1800,0008,0
GDL,1807-11-20,1800,0009,0
GDL,1807-11-20,1800,0010,0
GDL,1807-11-20,1800,0011,0
GDL,1807-11-20,1800,0012,0
GDL,1812-04-21,1810,0001,0
GDL,1812-04-21,1810,0002,0
GDL,1812-04-21,1810,0003,0
GDL,1812-04-21,1810,0004,0
GDL,1812-10-05,1810,0001,0
GDL,1812-10-05,1810,0002,0
GDL,1812-10-05,1810,0003,0
GDL,1812-10-05,1810,0004,0
GDL,1812-10-05,1810,0005,1
GDL,1812-10-05,1810,0006,0
GDL,1812-12-15,1810,0001,0
GDL,1812-12-15,1810,0002,1
GDL,1812-12-15,1810,0003,0
GDL,1812-12-15,1810,0004,0
GDL,1817-07-22,1810,0001,0
GDL,1817-07-22,1810,0002,0
GDL,1817-07-22,1810,0003,0
GDL,1817-07-22,1810,0004,0
GDL,1817-08-19,1810,0001,0
GDL,1817-08-19,1810,0002,0
GDL,1817-08-19,1810,0003,0
GDL,1817-08-19,1810,0004,0
GDL,1817-11-11,1810,0001,0
GDL,1817-11-11,1810,0002,0
GDL,1817-11-11,1810,0003,0
GDL,1817-11-11,1810,0004,0
GDL,1822-07-26,1820,0001,0
GDL,1822-07-26,1820,0002,0
GDL,1822-07-26,1820,0003,0
GDL,1822-07-26,1820,0004,0
GDL,1822-09-27,1820,0001,0
GDL,1822-09-27,1820,0002,0
GDL,1822-09-27,1820,0003,0
GDL,1822-09-27,1820,0004,0
GDL,1822-11-19,1820,0001,0
GDL,1822-11-19,1820,0002,0
GDL,1822-11-19,1820,0003,0
GDL,1822-11-19,1820,0004,0
GDL,1822-11-19,1820,0005,0
GDL,1822-11-19,1820,0006,0
GDL,1827-01-23,1820,0001,0
GDL,1827-01-23,1820,0002,0
GDL,1827-01-23,1820,0003,0
GDL,1827-01-23,1820,0004,1
GDL,1827-01-23,1820,0005,0
GDL,1827-01-23,1820,0006,0
GDL,1827-06-01,1820,0001,0
GDL,1827-06-01,1820,0002,0
GDL,1827-06-01,1820,0003,0
GDL,1827-06-01,1820,0004,0
GDL,1827-07-24,1820,0001,0
GDL,1827-07-24,1820,0002,0
GDL,1827-07-24,1820,0003,0
GDL,1827-07-24,1820,0004,0
GDL,1827-07-24,1820,0005,0
GDL,1827-07-24,1820,0006,0
GDL,1827-07-24,1820,0007,0
GDL,1827-07-24,1820,0008,0
GDL,1832-06-19,1830,0001,0
GDL,1832-06-19,1830,0002,0
GDL,1832-06-19,1830,0003,0
GDL,1832-06-19,1830,0004,0
GDL,1832-06-19,1830,0005,0
GDL,1832-06-19,1830,0006,0
GDL,1832-08-17,1830,0001,0
GDL,1832-08-17,1830,0002,0
GDL,1832-08-17,1830,0003,1
GDL,1832-08-17,1830,0004,0
GDL,1832-08-17,1830,0005,0
GDL,1832-08-17,1830,0006,0
GDL,1832-08-17,1830,0007,0
GDL,1832-08-17,1830,0008,0
GDL,1832-08-17,1830,0009,0
GDL,1832-08-17,1830,0010,0
GDL,1832-08-17,1830,0011,0
GDL,1832-08-17,1830,0012,0
